indicatorID,indicator,unit,indicatorDesc,sourceOrg,sourceID,source
IC.EXP.DOCS,Documents to export (number),NA,"All documents required per shipment to export goods are recorded. It is assumed that the contract has already been agreed upon and signed by both parties. Documents required for clearance by government ministries, customs authorities, port and container terminal authorities, health and technical control agencies and banks are taken into account. Since payment is by letter of credit, all documents required by banks for the issuance or securing of a letter of credit are also taken into account. Documents that are renewed annually and that do not require renewal per shipment (for example, an annual tax clearance certificate) are not included.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)",NA,"Documentary compliance captures the time and cost associated with compliance with the documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. The aim is to measure the total burden of preparing the bundle of documents that will enable completion of the international trade for the product and partner pair assumed in the case study.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)",NA,"Border compliance captures the time and cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. The time and cost for this segment include time and cost for customs clearance and inspection procedures conducted by other government agencies.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EXP.COST.IMP.DOC,Cost to import: Documentary compliance (USD),NA,"This indicator calculates the cost of exporting a standardized shipment of goods by ocean transport, expressed in U.S. dollars per container. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the cost of each export procedure.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.COST.IMP,Trade: Cost to import (US$ per container),NA,"This indicator calculates the cost of importing a standardized shipment of goods by ocean transport—from the vessel’s arrival at a port of entry to the cargo’s delivery to a warehouse—expressed in U.S. dollars per container. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the cost of each import procedure.
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.COST.EXP.DOC,Cost to export: Documentary compliance (USD),NA,"This indicator calculates the cost of exporting a standardized shipment of goods by ocean transport, expressed in U.S. dollars per container. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the cost of each export procedure.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.COST.EXP,Trade: Cost to export (US$ per container),NA,"This indicator calculates the cost of exporting a standardized shipment of goods by ocean transport, expressed in U.S. dollars per container. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the cost of each export procedure.
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.COST.CD,Cost to export (US$ per container),NA,"Cost measures the fees levied on a 20-foot container in U.S. dollars. All the fees associated with completing the procedures to export or import the goods are included. These include costs for documents, administrative fees for customs clearance and technical control, customs broker fees, terminal handling charges and inland transport. The cost measure does not include tariffs or trade taxes. Only official costs are recorded. Several assumptions are made for the business surveyed: Has 60 or more employees; Is located in the country's most populous city; Is a private, limited liability company. It does not operate within an export processing zone or an industrial estate with special export or import privileges; Is domestically owned with no foreign ownership; Exports more than 10% of its sales. Assumptions about the traded goods: The traded product travels in a dry-cargo, 20-foot, full container load. The product: Is not hazardous nor does it include military items; Does not require refrigeration or any other special environment; Does not require any special phytosanitary or environmental safety standards other than accepted international standards.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.ELEC.XQ,Getting electricity (rank),NA,"This index averages the country's percentile rankings on the challenges required for a business to obtain a permanent electricity connection for a newly constructed warehouse. Included are the number of steps, time, and cost.","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.ELEC.TIME,Time required to get electricity (days),NA,"The number of days to obtain a permanent electricity connection. The measure captures the median duration that the electricity utility and experts indicate is necessary in practice, rather than required by law, to complete a procedure.","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.ELEC.PROC,Procedures required to get electricity (number),NA,The number of procedures to obtain a permanent electricity connection. A procedure is defined as any interaction of the company employees or the company’s main electrician with external parties.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.ELEC.COST.PC.ZS,Cost to get electricity connection (% of income per capita),NA,The cost is recorded as a percentage of the economy’s income per capita. Costs are recorded exclusive of value added tax.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.ELC.TIME,Time required to get electricity (days),NA,"Time required to get electricity is the number of days to obtain a permanent electricity connection. The measure captures the median duration that the electricity utility and experts indicate is necessary in practice, rather than required by law, to complete a procedure.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EC.COST,Cost to enforce a contract (% of claim) ,NA,"This indicator records the cost to resolve a sale of goods dispute in local courts. It is expressed as a percentage of the claim, which is assumed to be equivalent to 200% of income per capita. No bribes are recorded. Three types of costs are recorded: court costs (including expert fees), enforcement costs, and average attorney fees. The data are collected through studying the codes of civil procedure and other court regulations as well as surveying local litigation lawyers (and, in a quarter of the countries, judges as well). Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/EnforcingContracts).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/EnforcingContracts/).",1,Doing Business
IC.DCP.COST,Cost to build a warehouse (% of income per capita),NA,"The cost for a business in the construction industry to build a standardized warehouse is recorded by this indicator and expressed as a percentage of the gross national income (GNI) per capita. Only official costs are recorded. The building code, information from local experts, and specific regulations and fee schedules are used as sources for costs.
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/DealingLicenses).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/DealingLicenses/).",1,Doing Business
IC.DCP.BQCI,Building quality control index (0-15),NA,Building quality control index ,"World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/DealingLicenses/).",1,Doing Business
IC.CRD.XQ,Getting credit (rank),NA,"This index ranks economies from 1 to N (number of economies varies by year), with first place being the best.  This index averages (a) Legal Rights Index, which measures the degree to which collateral and bankruptcy laws facilitate lending, (b) a Credit Information Index, which measures rules affecting the scope, access, and quality of credit information, (c) public credit registry coverage, and  (d) private credit bureau coverage, giving equal weight to each topic.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.CRD.PUBL.ZS,Public credit registry coverage (% of adults),NA,"Public credit registry coverage reports the number of individuals and firms listed in a public credit registry with current information on repayment history, unpaid debts, or credit outstanding. The number is expressed as a percentage of the adult population.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.CRD.PRVT.ZS,Private credit bureau coverage (% of adults),NA,"Private credit bureau coverage reports the number of individuals or firms listed by a private credit bureau with current information on repayment history, unpaid debts, or credit outstanding. The number is expressed as a percentage of the adult population.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.CRD.LGL.XQ,"Getting credit, legal rights index",NA,"The strength of legal rights index measures the degree to which collateral and bankruptcy laws protect the rights of borrowers and lenders and thus facilitate lending.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high),NA,"Depth of credit information index measures rules affecting the scope, accessibility, and quality of credit information available through public or private credit registries. The index ranges from 0 to 8, with higher values indicating the availability of more credit information, from either a public registry or a private bureau, to facilitate lending decisions.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.CLS.XQ,Closing a business (rank),NA,"This index averages the country's percentile rankings on: time, cost (% of estate) and recovery rate (cents on the dollar), giving equal weight to each topic.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.CLS.REC.CD,"Closing a business, recovery rate (cents on the dollar)",NA,"The recovery rate is recorded as cents on the dollar recouped by creditors through the bankruptcy or insolvency proceedings. The calculation takes into account whether the business emerges from the proceedings as a going concern as well as costs and the loss in value due to the time spent closing down. If the business keeps operating, no value is lost on the initial claim, set at 100 cents on the dollar. If it does not, the initial 100 cents on the dollar are reduced to 70 cents on the dollar. Then the official costs of the insolvency procedure are deducted (1 cent for each percentage of the initial value). Finally, the value lost as a result of the time the money remains tied up in insolvency proceedings is taken into account, including the loss of value due to depreciation of the hotel furniture. Consistent with international accounting practice, the depreciation rate for furniture is taken to be 20%. The furniture is assumed to account for a quarter of the total value of assets. The recovery rate is the present value of the remaining proceeds, based on end-2006 lending rates from the International Monetary Fund’s International Financial Statistics, supplemented with data from central banks.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.CLS.DURS,"Closing a business, time (years)",NA,"Time is recorded in calendar years. Information is collected on the sequence of procedures and on whether any procedures can be carried out simultaneously. Potential delay tactics by the parties, such as the filing of dilatory appeals or requests for extension, are taken into consideration.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.CLS.COST.EST.ZS,"Closing a business, cost (% of estate)",NA,"The cost of the proceedings is recorded as a percentage of the estate’s value. The cost is calculated on the basis of survey responses by insolvency practitioners and includes court fees as well as fees of insolvency practitioners, independent assessors, lawyers and accountants. Respondents provide cost estimates from among the following options: less than 2%, 2–5%, 5–8%, 8–11%, 11–18%, 18–25%, 25–33%, 33–50%, 50–75% and more than 75% of the value of the business estate.  This is the cost of the bankruptcy proceedings.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.BUS.XQ,Protecting investors (rank),NA,This index averages the country's percentile rankings on: disclosure Index,"World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.BUS.SHR.XQ,"Protecting investors, shareholder suits index",NA,"Doing Business measures the strength of minority shareholder protections against directors’ misuse of corporate assets for personal gain. The indicators distinguish 3 dimensions of investor protection: transparency of transactions (extent of disclosure index), liability for self-dealing (extent of director liability index) and shareholders’ ability to sue officers and directors for misconduct (ease of shareholder suits index). The data come from a survey of corporate lawyers and are based on company laws, court rules of evidence and securities regulations.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.BUS.INVS.XQ,"Protecting investors, investor protection index",NA,"Protecting investors disclosure index measures the degree to which investors are protected through disclosure of ownership and financial information. For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.BUS.EASE.XQ,Ease of doing business index (1=most business-friendly regulations),NA,"Ease of doing business ranks economies from 1 to 190, with first place being the best. A high ranking (a low numerical rank) means that the regulatory environment is conducive to business operation. The index averages the country's percentile rankings on 10 topics covered in the World Bank's Doing Business. The ranking on each topic is the simple average of the percentile rankings on its component indicators.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure),NA,"Disclosure index measures the extent to which investors are protected through disclosure of ownership and financial information. The index ranges from 0 to 10, with higher values indicating more disclosure.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.BUS.DIR.XQ,"Protecting investors, director liability index",NA,"Director liability index measures a plaintiff’s ability to hold directors of firms liable for damages to the company, that is, measures the strength of minority shareholder protections against directors’ misuse of corporate assets for personal gain.  The indicators distinguish 3 dimensions of investor protection: transparency of transactions (extent of disclosure index), liability for self-dealing (extent of director liability index) and shareholders’ ability to sue officers and directors for misconduct (ease of shareholder suits index). The data come from a survey of corporate lawyers and are based on company laws, court rules of evidence and securities regulations.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.BUS.DFRN.XQ,Distance to frontier score (0=lowest performance to 100=frontier),NA,"Distance to frontier score illustrates the distance of an economy to the ""frontier,"" which represents the best performance observed on each Doing Business topic across all economies and years included since 2005. An economy's distance to frontier is indicated on a scale from 0 to 100, where 0 represents the lowest performance and 100 the frontier. For example, a score of 75 in 2012 means an economy was 25 percentage points away from the frontier constructed from the best performances across all economies and across time. A score of 80 in 2013 would indicate the economy is improving.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.FRM.COST.PC.ZS,"Dealing with construction permits, cost (% of income per capita)",NA,"Cost is recorded as a percentage of the economy’s income per capita. Only official costs are recorded. All the fees associated with completing the procedures to legally build a warehouse are recorded, including those associated with obtaining land use approvals and preconstruction design clearances; receiving inspections before, during and after construction; getting utility connections; and registering the warehouse property. Nonrecurring taxes required for the completion of the warehouse project also are recorded. The building code, information from local experts and specific regulations and fee schedules are used as sources for costs. If several local partners provide different estimates, the median reported value is used.","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.EXP.TMDC,"Time to export, documentary compliance (hours)",NA,"Documentary compliance captures the time and cost associated with compliance with the documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. The aim is to measure the total burden of preparing the bundle of documents that will enable completion of the international trade for the product and partner pair assumed in the case study.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EXP.TMBC,"Time to export, border compliance (hours)",NA,"Border compliance captures the time and cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. The time and cost for this segment include time and cost for customs clearance and inspection procedures conducted by other government agencies.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.EXP.TIME.IMP.DOC,Time to import: Documentary compliance (hours),NA,"This indicator calculates the average number of days it takes to comply with all procedures required to export goods. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the time to complete each procedure.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.TIME.IMP,Trade: Time to import (days),NA,"This indicator calculates the average number of days it takes to comply with all procedures required to import goods—from the vessel’s arrival at a port of entry to the cargo’s delivery to a warehouse.  Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the time to complete each procedure.
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.TIME.EXP.DOC,Time to export: Documentary compliance (hours),NA,"This indicator calculates the average number of days it takes to comply with all procedures required to export goods. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the time to complete each procedure.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.TIME.EXP,Trade: Time to export (day),NA,"This indicator calculates the average number of days it takes to comply with all procedures required to export goods. Local freight forwarders, shipping lines, customs brokers, port officials, and banks provide information on the time to complete each procedure.
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/TradingAcrossBorders/).",1,Doing Business
IC.EXP.DURS,Time to export (days),NA,"Time to export is the time necessary to comply with all procedures required to export goods. Time is recorded in calendar days. The time calculation for a procedure starts from the moment it is initiated and runs until it is completed. If a procedure can be accelerated for an additional cost, the fastest legal procedure is chosen. It is assumed that neither the exporter nor the importer wastes time and that each commits to completing each remaining procedure without delay. Procedures that can be completed in parallel are measured as simultaneous. The waiting time between procedures--for example, during unloading of the cargo--is included in the measure.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.FRM.TIME,Time required to deal with construction permits (days),NA,The total number of days required to build a warehouse. The measure captures the median duration that local experts indicate is necessary to complete a procedure in practice.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.FRM.PROC,"Dealing with construction, procedures (number)",NA,"A procedure is any interaction of the company’s employees or managers with external parties, including government agencies, notaries, the land registry, the cadastre, utility com­panies, public and private inspectors and technical experts apart from in-house architects and engineers. Interactions between company employees, such as development of the warehouse plans and inspections conducted by employees, are not counted as procedures. Procedures that the company undergoes to connect to electricity, water, sewerage and phone services are included. All procedures that are legally or in practice required for building a warehouse are counted, even if they may be avoided in exceptional cases.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.REG.PROC,Start-up procedures to register a business (number),NA,"Start-up procedures are those required to start a business, including interactions to obtain necessary permits and licenses and to complete all inscriptions, verifications, and notifications to start operations. Data are for businesses with specific characteristics of ownership, size, and type of production.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.REG.DURS.WOMEN,Time required to start a business - Women (days),NA,"The number of procedures required to legally operate a commercial or industrial firm are recorded, including interactions to obtain necessary permits and licenses and to complete all inscriptions, verifications, and notifications for starting operations.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/StartingBusiness/).",1,Doing Business
IC.REG.DURS.MA,"Time required to start a business, male (days)",NA,"Time required to start a business is the number of calendar days needed to complete the procedures to legally operate a business. If a procedure can be speeded up at additional cost, the fastest procedure, independent of cost, is chosen.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.REG.DURS.FE,"Time required to start a business, female (days)",NA,"Time required to start a business is the number of calendar days needed to complete the procedures to legally operate a business. If a procedure can be speeded up at additional cost, the fastest procedure, independent of cost, is chosen.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.REG.DURS,Time required to start a business (days),NA,"Time required to start a business is the number of calendar days needed to complete the procedures to legally operate a business. If a procedure can be speeded up at additional cost, the fastest procedure, independent of cost, is chosen.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.REG.COST.PC.ZS.WOMEN,Cost – Women (% of income per capita),NA,"The official cost to start a business legally is measured by this indicator and expressed a  percentage of the economy's income per capita. It includes all official fees and fees for legal or professional services if such services are required by law. In all cases, the cost excludes bribes.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/StartingBusiness/).",1,Doing Business
IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita),NA,Cost to register a business is normalized by presenting it as a percentage of gross national income (GNI) per capita.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.REG.COST.PC.MA.ZS,"Cost of business start-up procedures, male (% of GNI per capita)",NA,Cost to register a business is normalized by presenting it as a percentage of gross national income (GNI) per capita.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
